time,absoluteSensor2.r[2],absoluteSensor.r[2]
1132.8,0.793202009,0.269109521
1133.4,0.79099702,0.30868256
1134,0.788783295,0.350200127
1134.6,0.786560224,0.393018694
1135.2,0.784327228,0.436530754
1135.8,0.782083701,0.48009891
1136.4,0.779828997,0.523045216
1137,0.777562504,0.564727945
1137.6,0.775283663,0.604555309
1138.2,0.772991891,0.641913294
1138.8,0.770686657,0.676239608
1139.4,0.768367486,0.707027836
1140,0.766033947,0.733814147
1140.6,0.763685675,0.756201549
1141.2,0.761322345,0.773833934
1141.8,0.758943718,0.786439491
1142.4,0.756549648,0.793839173
1143,0.75414004,0.795906885
1143.6,0.751714843,0.792558927
1144.2,0.749274161,0.783865135
1144.8,0.746818159,0.769959206
1145.4,0.744346975,0.75094534
1146,0.741860951,0.727132641
1146.6,0.739360477,0.698878123
1147.2,0.736845926,0.666520753
1147.8,0.734317781,0.630512321
1148.4,0.731776621,0.591395786
1149,0.72922302,0.54971288
1149.6,0.726657546,0.50599767
1150.2,0.724080893,0.460909347
1150.8,0.721493745,0.415100083
1151.4,0.718896718,0.369149231
1152,0.716290527,0.323738668
1152.6,0.713675856,0.279518454
1153.2,0.711053336,0.237083432
1153.8,0.708423593,0.197027176
1154.4,0.705787229,0.159915335
1155,0.703144793,0.126262937
1155.6,0.700496783,0.096531433
1156.2,0.697843636,0.071123014
1156.8,0.695185723,0.050374657
1157.4,0.692523387,0.034592828
1158,0.689856845,0.023957911
1158.6,0.68718624,0.0185786
1159.2,0.684511707,0.018553411
1159.8,0.681833244,0.023844544
1160.4,0.679150756,0.034319644
1161,0.676464116,0.049816753
1161.6,0.673773152,0.070125612
1162.2,0.671077533,0.094880229
1162.8,0.668376895,0.12367853
1163.4,0.665670913,0.156158938
1164,0.662959076,0.191773018
1164.6,0.660240851,0.229951289
1165.2,0.657515764,0.270182204
1165.8,0.654783226,0.311838319
1166.4,0.65204262,0.354265679
1167,0.649293359,0.396840245
1167.6,0.64653487,0.438949677
1168.2,0.64376653,0.479933477
1168.8,0.640987754,0.519169326
1169.4,0.63819802,0.556095308
1170,0.635396793,0.590140114
1170.6,0.632583598,0.620789175
1171.2,0.629758005,0.64757466
1171.8,0.626919649,0.67009176
1172.4,0.624068231,0.688003355
1173,0.621203499,0.701018326
1173.6,0.61832527,0.708915935
1174.2,0.615433475,0.711586502
1174.8,0.612528101,0.70897921
1175.4,0.609609151,0.701057549
1176,0.606676801,0.687957779
1176.6,0.60373129,0.669879389
1177.2,0.600772818,0.646984014
1177.8,0.597801776,0.619621906
1178.4,0.594818609,0.588198126
1179,0.591823758,0.553116207
1179.6,0.588817725,0.514836447
1180.2,0.585801126,0.473934921
1180.8,0.582774579,0.430989469
1181.4,0.579738659,0.386536556
1182,0.576694073,0.34124087
1182.6,0.573641514,0.295757122
1183.2,0.5705816,0.250660464
1183.8,0.567515027,0.20660921
1184.4,0.564442461,0.164226192
1185,0.56136452,0.124089374
1185.6,0.558281791,0.086746137
1186.2,0.555194837,0.052717254
1186.8,0.552104165,0.022469152
1187.4,0.549010233,-0.003582217
1188,0.545913422,-0.025096763
1188.6,0.542814042,-0.041804776
1189.2,0.539712394,-0.053449048
1189.8,0.53660863,-0.059917247
1190.4,0.533502837,-0.061164569
1191,0.53039508,-0.057169661
1191.6,0.527285321,-0.048010029
1192.2,0.524173406,-0.033883598
1192.8,0.521059143,-0.015024362
1193.4,0.517942331,0.00832449
1194,0.514822596,0.035746454
1194.6,0.511699525,0.066786782
1195.2,0.508572774,0.101057061
1195.8,0.505441809,0.137980987
1196.4,0.502306085,0.176971479
1197,0.499165093,0.217476152
1197.6,0.49601827,0.258888059
1198.2,0.492865002,0.300550006
1198.8,0.489704702,0.341833373
1199.4,0.486536827,0.382149619
1200,0.483360783,0.420863408
1200.6,0.480176022,0.457381092
1201.2,0.476982055,0.491170553
1201.8,0.473778402,0.52170827
1202.4,0.470564642,0.548530539
1203,0.4673404,0.571216771
1203.6,0.464105369,0.589416864
1204.2,0.460859319,0.602856592
1204.8,0.457602072,0.611313398
1205.4,0.454333499,0.614615063
1206,0.451053603,0.612720488
1206.6,0.447762452,0.605652472
1207.2,0.444460101,0.593421574
1207.8,0.441146792,0.576226271
1208.4,0.437822823,0.554319986
1209,0.434488476,0.527940152
1209.6,0.431144162,0.497452882
1210.2,0.42779038,0.463312268
1210.8,0.424427633,0.4259773
1211.4,0.421056435,0.385917056
1212,0.417677432,0.343732336
1212.6,0.414291272,0.30002653
1213.2,0.410898538,0.255338088
1213.8,0.407499938,0.210329169
1214.4,0.40409616,0.165642196
1215,0.400687832,0.121861839
1215.6,0.397275613,0.079600701
1216.2,0.393860145,0.039454962
1216.8,0.390442023,0.001975059
1217.4,0.387021797,-0.03233474
1218,0.383599984,-0.063003908
1218.6,0.38017704,-0.089620828
1219.2,0.376753382,-0.111814601
1219.8,0.373329332,-0.129308995
1220.4,0.369905143,-0.141897658
1221,0.366481052,-0.149389436
1221.6,0.363057167,-0.151722299
1222.2,0.359633512,-0.148918649
1222.8,0.356210078,-0.141033088
1223.4,0.352786796,-0.128180858
1224,0.349363455,-0.11062102
1224.6,0.3459398,-0.088653476
1225.2,0.342515603,-0.062553464
1225.8,0.339090451,-0.032781195
1226.4,0.335663898,1.71E-04
1227,0.332235556,0.035869584
1227.6,0.328804897,0.073737049
1228.2,0.325371362,0.113168298
1228.8,0.321934416,0.153582254
1229.4,0.318493518,0.194390556
1230,0.315048065,0.234941558
1230.6,0.31159748,0.274612873
1231.2,0.308141246,0.312838775
1231.8,0.304678806,0.349015936
1232.4,0.301209651,0.38258767
1233,0.297733327,0.413051751
1233.6,0.294249411,0.439937914
1234.2,0.290757538,0.462835229
1234.8,0.287257391,0.481377606
1235.4,0.283748719,0.495265537
1236,0.280231358,0.50428962
1236.6,0.276705205,0.508297788
1237.2,0.273170182,0.507165287
1237.8,0.269626363,0.500917675
1238.4,0.266073889,0.489647509
1239,0.262512866,0.473414899
1239.6,0.258943597,0.452472931
1240.2,0.255366432,0.427125501
1240.8,0.251781727,0.397679485
1241.4,0.24818991,0.364516138
1242,0.244591526,0.328131241
1242.6,0.240987127,0.289029583
1243.2,0.237377239,0.247689049
1243.8,0.233762527,0.20472693
1244.4,0.230143658,0.160761987
1245,0.22652122,0.116333702
1245.6,0.222895913,0.072094196
1246.2,0.21926841,0.028668193
1246.8,0.215639341,-0.013362604
1247.4,0.212009325,-0.053427151
1248,0.208378973,-0.090963342
1248.6,0.204748847,-0.1254574
1249.2,0.201119457,-0.15644641
1249.8,0.19749127,-0.183514283
1250.4,0.193864684,-0.206308794
1251,0.190240076,-0.224504209
1251.6,0.186617705,-0.237888841
1252.2,0.182997763,-0.246318203
1252.8,0.179380421,-0.249672947
1253.4,0.175765744,-0.247934545
1254,0.172153693,-0.2411917
1254.6,0.168544189,-0.229571883
1255.2,0.16493713,-0.21322667
1255.8,0.16133225,-0.192471023
1256.4,0.157729238,-0.167663784
1257,0.154127838,-0.139111951
1257.6,0.150527601,-0.107312344
1258.2,0.146928058,-0.072783599
1258.8,0.143328774,-0.036010384
1259.4,0.139729234,0.002443917
1260,0.136128868,0.041959535
1260.6,0.132527127,0.081938074
1261.2,0.128923488,0.121808142
1261.8,0.125317364,0.160931716
1262.4,0.121708197,0.198702408
1263,0.118095495,0.234577846
1263.6,0.11447874,0.267992506
1264.2,0.110857469,0.298432462
1264.8,0.107231263,0.325429556
1265.4,0.103599755,0.348567336
1266,0.099962639,0.367490168
1266.6,0.096319658,0.381892112
1267.2,0.09267061,0.39152171
1267.8,0.089015401,0.396235069
1268.4,0.085354,0.395950861
1269,0.081686376,0.390591071
1269.6,0.07801267,0.380245145
1270.2,0.07433308,0.365062438
1270.8,0.070647792,0.345179272
1271.4,0.066957131,0.320871435
1272,0.063261506,0.292497578
1272.6,0.059561333,0.260426411
1273.2,0.05585706,0.225054041
1273.8,0.052149264,0.186910302
1274.4,0.048438537,0.146536012
1275,0.044725414,0.104417645
1275.6,0.04101057,0.061181001
1276.2,0.037294674,0.017444286
1276.8,0.033578331,-0.026234723
1277.4,0.029862209,-0.069239741
1278,0.026146964,-0.110962462
1278.6,0.022433214,-0.150835472
1279.2,0.01872154,-0.188326271
1279.8,0.015012514,-0.222913194
1280.4,0.011306655,-0.254126629
1281,0.007604435,-0.281544159
1281.6,0.003906261,-0.304807161
1282.2,2.12E-04,-0.323622974
1282.8,-0.003476598,-0.337720548
1283.4,-0.007160758,-0.346943993
1284,-0.010839872,-0.351212554
